lanp16,lanp16_label,langsos,langsoslbl,langoha,langohastr,langohalbl,langc39,lc39label,langc42,lc42label,langc12,lc12label,langc5,lc5label
1000,Jamaican Creole English,1,English Creole,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1025,Other English-based Creole languages,1,English Creole,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1055,Haitian,10,Haitian,12,hat,Haitian,hai,French Creole,hai,Haitian,fre,"French, Haitian, or Cajun",oie,Other Indo-European languages
1069,Kabuverdianu,12,Portuguese,32,por,Portuguese,por,Portuguese or Portuguese Creole,por,Portuguese,oie,Other Indo-European languages,oie,Other Indo-European languages
1110,German,2,German,9,deu,German,ger,German,ger,German,ger,German or other West Germanic languages,oie,Other Indo-European languages
1120,Swiss German,2,German,9,deu,German,ger,German,ger,German,ger,German or other West Germanic languages,oie,Other Indo-European languages
1125,Pennsylvania German,3,Dutch/West Germanic,43,qwg,Other West Germanic languages,owg,Other West Germanic languages,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages
1130,Yiddish,4,Yiddish,43,qwg,Other West Germanic languages,yid,Yiddish,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages
1132,Dutch,3,Dutch/West Germanic,43,qwg,Other West Germanic languages,owg,Other West Germanic languages,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages
1134,Afrikaans,3,Dutch/West Germanic,43,qwg,Other West Germanic languages,owg,Other West Germanic languages,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages
1140,Swedish,5,Swedish,23,qie,Other Indo-European languages,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1141,Danish,6,Danish,23,qie,Other Indo-European languages,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1142,Norwegian,7,Norwegian,23,qie,Other Indo-European languages,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1155,Italian,8,Italian,16,ita,Italian,ita,Italian,ita,Italian,oie,Other Indo-European languages,oie,Other Indo-European languages
1170,French,9,French,8,fra,French (incl. Cajun),fre,"French (incl. Patois, Cajun)",fre,French (incl. Cajun),fre,"French, Haitian, or Cajun",oie,Other Indo-European languages
1175,Cajun French,9,French,8,fra,French (incl. Cajun),fre,"French (incl. Patois, Cajun)",fre,French (incl. Cajun),fre,"French, Haitian, or Cajun",oie,Other Indo-European languages
1200,Spanish,11,Spanish,35,spa,Spanish,spa,Spanish or Spanish Creole,spa,Spanish,spa,Spanish,spa,Spanish
1210,Portuguese,12,Portuguese,32,por,Portuguese,por,Portuguese or Portuguese Creole,por,Portuguese,oie,Other Indo-European languages,oie,Other Indo-European languages
1220,Romanian,13,Romanian,23,qie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1231,Irish,14,Irish,23,qie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1235,Greek,15,Greek,10,ell,Greek,grk,Greek,grk,Greek,oie,Other Indo-European languages,oie,Other Indo-European languages
1242,Albanian,16,Albanian,23,qie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1250,Russian,17,Russian,33,rus,Russian,rus,Russian,rus,Russian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages
1260,Ukrainian,18,Ukrainian,40,ukr ,Ukrainian,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages
